代码,名称,所属行业
ON,安森美半导体,半导体
ONON,昂跑,鞋类及配件
ONTO,Onto Innovation,半导体设备与材料
OPY,奥本海默控股,资本市场
OR,Osisko Gold Royalties,黄金
ORCL,甲骨文,软件 - 基础架构
ORI,Old Republic International,保险 - 多元化
ORIC,Oric Pharmaceuticals,生物技术
ORLA,Orla Mining,黄金
ORLY,奥莱利,专业零售
OSCR,Oscar Health,医疗计划
OSK,Oshkosh,农用及重型工程机械
OTEX,Open Text,软件 - 应用
OTIS,奥的斯,特种工业机械
OUT,Outfront Media Inc.,房地产投资信托 - 专业
OVV,Ovintiv,石油和天然气勘探及生产
OXY,西方石油,石油和天然气勘探及生产
OZK,欧扎克银行,银行 - 地区性
PACK,Ranpak Holdings,包装与容器
PAM,Pampa Energia,公用事业 - 独立发电商
PANW,Palo Alto Networks,软件 - 基础架构
PAR,PAR Technology,软件 - 应用
PARA,派拉蒙环球-B,娱乐
PATH,UiPath,软件 - 基础架构
PAYC,Paycom Software,软件 - 应用
PAYX,沛齐,人员配备和就业服务
PB,Prosperity Bancshares,银行 - 地区性
PBH,普雷斯蒂奇,药品制造商 - 专业和通用
PBI,必能宝,综合货运与物流
PBPB,Potbelly,餐厅
PBR,巴西石油公司,石油和天然气综合
PCAR,帕卡,农用及重型工程机械
PCG,太平洋煤电,公用事业 - 受监管电力
PCH,PotlatchDeltic Corp.,房地产投资信托 - 专业
PCOR,Procore Technologies,软件 - 应用
PD,PagerDuty,软件 - 应用
PDD,拼多多,互联网零售
PENN,佩恩国民博彩,渡假村和赌场
PEP,百事可乐,饮料 - 非酒精饮料
PEPG,PepGen,生物技术
PFE,辉瑞,药品制造商 - 一般
PFG,信安金融,资产管理
PFMT,Performant Financial,专业商务服务
PG,宝洁,家用和个人产品
PGEN,Precigen,生物技术
PGNY,Progyny,健康信息服务
PGR,前进保险,保险 - 财产和伤亡
PHG,飞利浦,医疗设备
PHIN,Phinia,汽车零件
PHM,普得集团,住宅施工
PHVS,Pharvaris,生物技术
PI,Impinj,通讯设备
PII,北极星,休闲车
PINS,Pinterest,互联网内容与信息
PIPR,派杰投资,资本市场
PK,Park Hotels & Resorts Inc,房地产投资信托 - 酒店和汽车旅馆
PKG,美国包装公司,包装与容器
PL,Planet Labs PBC,航空航天和国防
PLD,安博,房地产投资信托 - 工业
PLTN,Plutonian Acquisition Corp,空壳公司
PLTR,Palantir,软件 - 基础架构
PLXS,普雷克萨斯,电子元器件
PM,菲利普莫里斯,烟草
PNC,PNC金融服务集团,银行 - 地区性
PNM,PNM Resources,公用事业 - 受监管电力
PODD,银休特,医疗设备
POOL,Pool Corp,产业分布
POWI,帕沃英蒂格盛,半导体
PPG,PPG工业,特种化学品
PPTA,Perpetua Resources,其他贵金属和采矿
PR,Permian Resources,石油和天然气勘探及生产
PRA,Proassurance,保险 - 财产和伤亡
PRAA,PRA Group,信贷服务
PRDO,Perdoceo Education,教育培训服务
PRG,PROG Holdings,租赁服务
PRGO,百利高,药品制造商 - 专业和通用
PRI,Primerica,保险 - 人寿
PRVA,Privia Health,健康信息服务
PSA,公共存储公司,房地产投资信托 - 工业
PSTG,Pure Storage,电脑硬件
PSX,Phillips 66,石油和天然气精炼与营销
PTC,PTC Inc,软件 - 应用
PTEN,Patterson-UTI Energy,石油和天然气钻井
PTON,Peloton Interactive,休闲
PTWO,Pono Capital Two,空壳公司
PUK,英国保诚,保险 - 人寿
PVH,PVH Corp,服装制造
PWR,广达服务,工程建设
PXD,先锋自然资源,石油和天然气勘探及生产
PYPL,PayPal,信贷服务
QCOM,高通,半导体
QDEL,窥得儿医药,医疗设备
QFIN,奇富科技,信贷服务
QLYS,科力斯,软件 - 基础架构
QRVO,Qorvo,半导体
QSR,餐饮品牌国际,餐厅
QUAD,Quad/Graphics,专业商务服务
RACE,法拉利,汽车制造商
RAMP,LiveRamp,软件 - 基础架构
RBC,RBC轴承,工具及配件
RBKB,Rhinebeck Bancorp,银行 - 地区性
RBLX,Roblox,电子游戏与多媒体
RCI,罗杰斯通信,电信服务
RCKT,Rocket Pharmaceuticals,生物技术
RCL,皇家加勒比邮轮,旅游服务
RDI,Reading International-A,娱乐
RDN,Radian Group,保险 - 专业
REAL,TheRealReal,奢侈品
REG,Regency Centers Corp.,房地产投资信托 - 零售
REGN,再生元制药公司,生物技术
RELX,RELX PLC,专业商务服务
RERE,万物新生(爱回收),互联网零售
REXR,Rexford Industrial Realty,房地产投资信托 - 工业
REYN,Reynolds Consumer Products,包装与容器
REZI,Resideo Technologies,安全与防护服务
RFL,Rafael Holdings,房地产服务
RGF,The Real Good Food,包装食品
RGLD,皇家黄金,黄金
RH,Restoration Hardware,专业零售
RHI,罗致恒富,人员配备和就业服务
RICK,RCI Hospitality Holdings,餐厅
RIO,力拓,其他工业金属与采矿
RIVN,Rivian Automotive,汽车制造商
RJF,瑞杰金融,资本市场
RKT,Rocket,抵押金融
RL,拉夫劳伦,服装制造
RLI,RLI保险,保险 - 财产和伤亡
RLYB,Rallybio,生物技术
RMNI,Rimini Street,软件 - 应用
RMR,The RMR Group,房地产服务
RNR,RenaissanceRe Holdings,保险 - 再保险
ROCK,Gibraltar Industries,建筑产品及设备
ROG,罗杰斯,电子元器件
ROIC,Retail Opportunity Investments Corp.,房地产投资信托 - 零售
ROIV,Roivant Sciences,生物技术
ROK,罗克韦尔自动化,特种工业机械
ROKU,Roku Inc,娱乐
ROL,Rollins,个性化服务
ROP,儒博实业,软件 - 应用
ROST,罗斯百货,服装零售
RPM,RPM International,特种化学品
RPRX,Royalty Pharma,生物技术
RRGB,红罗宾,餐厅
RRX,Regal Rexnord,特种工业机械
RS,Reliance,钢
RTX,雷神技术,航空航天和国防
RVLV,Revolve Group,互联网零售
RWAY,Runway Growth Finance,信贷服务
RXST,RxSight,医疗设备
RYAN,Ryan Specialty Holdings,保险 - 专业
RYN,雷欧尼尔,房地产投资信托 - 专业
SABR,Sabre,软件 - 基础架构
SAIA,Saia,公路运输
SAIC,Science Applications International,信息技术服务
SANM,新美亚电子,电子元器件
SAP,SAP SE,软件 - 应用
SAVE,Spirit Airlines,航空公司
SB,Safe Bulkers,海运
SBAC,SBA通信公司,房地产投资信托 - 专业
SBCF,Seacoast Bank,银行 - 地区性
SBLK,Star Bulk Carriers,海运
SBSI,Southside Bancshares,银行 - 地区性
SBUX,星巴克,餐厅
SCCO,南方铜业,铜
SCHL,学乐集团,出版
SCHW,嘉信理财,资本市场
SCI,Service Corporation International,个性化服务
SCVL,Shoe Carnival,服装零售
SCWX,Secureworks,软件 - 基础架构
SD,SandRidge Energy,石油和天然气勘探及生产
SDGR,Schrodinger,健康信息服务
SDRL,Seadrill,石油和天然气钻井
SE,Sea,互联网零售
SEB,Seaboard,企业集团
SEE,希悦尔,包装与容器
SEIC,SEI Investments,资产管理
SEMR,SEMrush,软件 - 应用
SFBS,ServisFirst Bancshares,银行 - 地区性
SFIX,Stitch Fix,服装零售
SFM,Sprouts Farmers Market,杂货商店
SG,Sweetgreen,餐厅
SGH,SMART Global,半导体
SGRY,Surgery Partners,医疗设施
SGU,Star Group LP,石油和天然气精炼与营销
SHAK,Shake Shack,餐厅
SHC,Sotera Health Company,诊断与研究
SHEL,Shell PLC,石油和天然气综合
SHO,Sunstone Hotel Investors,房地产投资信托 - 酒店和汽车旅馆
SHOO,史蒂夫·马登,鞋类及配件
SHOP,Shopify,软件 - 应用
SHW,宣伟公司,特种化学品
SHYF,Shyft Group,农用及重型工程机械
SIG,西格内特珠宝,奢侈品
SIRI,Sirius XM,娱乐
SITE,SiteOne Landscape Supply,产业分布
SITM,SiTime,半导体
SIX,Six Flags Entertainment,休闲
SJM,斯马克,包装食品
SKIL,Skillsoft,教育培训服务
SKX,斯凯奇,鞋类及配件
SKYX,SKYX Platforms,电气设备及零件
SLB,斯伦贝谢,石油和天然气设备与服务
SLCA,US Silica,石油和天然气设备与服务
SLG,SL Green Realty,房地产投资信托 - 写字楼
SMAR,Smartsheet,软件 - 应用
SMCI,超微电脑,电脑硬件
SMFG,三井住友金融,银行 - 多元化
SMG,The Scotts Miracle,农业投入品
SMHI,Seacor Marine,海运
SMRT,SmartRent,软件 - 应用
SMTC,先科电子,半导体
SN,SharkNinja,家具、固定装置和家电
SNA,实耐宝,工具及配件
SNAP,Snap Inc,互联网内容与信息
SNBR,Sleep Number,家具、固定装置和家电
SNDA,Sonida Senior Living,医疗设施
SNEX,StoneX,资本市场
SNOW,Snowflake,软件 - 应用
SNPS,新思科技,软件 - 基础架构
SNX,新聚思,电子与计算机分销
SNY,赛诺菲安万特,药品制造商 - 一般
SO,美国南方公司,公用事业 - 受监管电力
SOFI,SoFi Technologies,信贷服务
SONY,索尼,消费电子品
SPB,Spectrum Brands,家用和个人产品
SPG,西蒙地产,房地产投资信托 - 零售
SPGI,标普全球,财务数据与证券交易所
SPHR,Sphere Entertainment,娱乐
SPNS,Sapiens International,软件 - 应用
SPNT,SiriusPoint,保险 - 再保险
SPOT,Spotify Technology,互联网内容与信息
SPR,Spirit Aerosystems,航空航天和国防
SPSC,SPS Commerce,软件 - 基础架构
SPWH,Sportsman's Warehouse,专业零售
SQ,Block,软件 - 基础架构
SRCL,消毒循环,废物管理
SRE,桑普拉能源,公用事业 - 多元化
SRG,Seritage Growth Properties,房地产投资信托 - 零售
SRI,Stoneridge,汽车零件
SSNC,SS&C Technologies,软件 - 应用
ST,Sensata Technologies,科技仪器
STC,Stewart Information Services,保险 - 财产和伤亡
STEP,StepStone Group,资产管理
STHO,Star Holdings,房地产服务
STKL,SunOpta,包装食品
STLA,Stellantis NV,汽车制造商
STNE,StoneCo,软件 - 基础架构
STR,Sitio Royalties,石油和天然气勘探及生产
STT,道富银行,资产管理
STX,希捷科技,电脑硬件
STXS,Stereotaxis,医疗设备和用品
STZ,星座品牌,饮料 - 酿酒厂
SUI,Sun Communities,房地产投资信托 - 住宅
SUPN,Supernus Pharmaceuticals,药品制造商 - 专业和通用
SWAV,ShockWave Medical,医疗设备
SWBI,Smith & Wesson Brands,航空航天和国防
SWK,美国史丹利公司,工具及配件
SWKS,思佳讯,半导体
SWN,美国西南能源,石油和天然气勘探及生产
SWTX,SpringWorks Therapeutics,生物技术
SWX,Southwest Gas Holdings,公用事业 - 受监管天然气
SWZ,瑞士赫尔维蒂基金,资产管理
SYF,Synchrony Financial,信贷服务
SYK,史赛克,医疗设备
SYNA,Synaptics,半导体
SYY,西思科公司,食物分配
T,AT&T,电信服务
TAK,武田制药,药品制造商 - 专业和通用
TAP,莫库酒业,饮料 - 啤酒
TBPH,Theravance Biopharma,生物技术
TCBI,Texas Capital Bancshares,银行 - 地区性
TDG,TransDigm,航空航天和国防
TDOC,Teladoc Health,健康信息服务
TDS,电话和数据系统,电信服务
TDW,潮水公司,石油和天然气设备与服务
TDY,Teledyne Technologies,科技仪器
TEAM,Atlassian,软件 - 应用
TECH,Bio-Techne,生物技术
TECK,泰克资源有限公司,其他工业金属与采矿
TEL,泰科电子,电子元器件
TENK,TenX Keane Acquisition,空壳公司
TEO,阿根廷电信,电信服务
TER,泰瑞达,半导体设备与材料
TEVA,梯瓦制药,药品制造商 - 专业和通用
TEX,特雷克斯,农用及重型工程机械
TFC,Truist Financial,银行 - 地区性
TFII,TFI International,公路运输
TGI,Triumph,航空航天和国防
TGNA,TEGNA,广播
TGS,阿根廷南部燃气,石油和天然气综合
TGT,塔吉特,折扣店
THC,泰尼特,医疗设施
THG,汉诺威保险,保险 - 财产和伤亡
THO,索尔工业,休闲车
THRM,Gentherm,汽车零件
THS,树屋食品,包装食品
TJX,TJX公司,服装零售
TKO,TKO Group Holdings,娱乐
TKR,铁姆肯,工具及配件
TLIS,Talis Biomedical,医疗设备
TMDX,TransMedics,医疗设备
TME,腾讯音乐,互联网内容与信息
TMO,赛默飞世尔,诊断与研究
TMTC,TMT Acquisition Corp,空壳公司
TMUS,T-Mobile US,电信服务
TNC,坦能,特种工业机械
TNET,TriNet Group,人员配备和就业服务
TNL,Travel Plus Leisure,旅游服务
TOL,托尔兄弟,住宅施工
TOST,Toast,软件 - 基础架构
TPC,Tutor Perini,工程建设
TPH,Tri Pointe Homes,住宅施工
TPHS,Trinity Place Holdings,房地产 - 开发
TPIC,TPI Composites,特种工业机械
TPL,Texas Pacific Land,石油和天然气勘探及生产
TPR,Tapestry,奢侈品
TPX,泰浦陛迪国际公司,家具、固定装置和家电
TREX,Trex Co.,建筑产品及设备
TRMB,天宝导航公司,科技仪器
TRMD,Torm,石油和天然气中游
TRN,Trinity Industries,铁路
TRNO,Terreno Realty,房地产投资信托 - 工业
TROW,普信集团,资产管理
TROX,Tronox,化工品
TRP,TC Energy,石油和天然气中游
TRU,TransUnion,咨询服务
TRUP,Trupanion,保险 - 专业
TRV,旅行者财产险集团,保险 - 财产和伤亡
TRVI,Trevi Therapeutics,生物技术
TSCO,拖拉机供应公司,专业零售
TSEM,Tower半导体,半导体
TSLA,特斯拉,汽车制造商
TSM,台积电,半导体
TSN,泰森食品,农产品
TTC,托罗配件,工具及配件
TTD,The Trade Desk,软件 - 应用
TTE,道达尔,石油和天然气综合
TTMI,TTM科技,电子元器件
TTWO,Take-Two互动软件,电子游戏与多媒体
TW,Tradeweb Markets,资本市场
TWLO,Twilio,互联网内容与信息
TX,特尔尼翁钢铁,钢
TXN,德州仪器,半导体
TXRH,德州公路酒吧,餐厅
TXT,德事隆,航空航天和国防
TYL,泰勒科技,软件 - 应用
UA,安德玛-C,服装制造
UAL,联合大陆航空,航空公司
UBER,优步,软件 - 应用
UBS,瑞银,银行 - 多元化
UCTT,超科林半导体,半导体设备与材料
UDR,UDR不动产信托,房地产投资信托 - 住宅
UGI,UGI公用事业,公用事业 - 受监管天然气
UHAL,U-Haul,租赁服务
UHS,Universal Health Services,医疗设施
UL,联合利华(英国),家用和个人产品
ULCC,Frontier Group,航空公司
ULTA,Ulta美容,专业零售
UMBF,UMB金融,银行 - 地区性
UMC,联电,半导体
UNF,第一联合,专业商务服务
UNFI,联合原生态食品,食物分配
UNH,联合健康,医疗计划
UNIT,Uniti Group,房地产投资信托 - 专业
UNP,联合太平洋,铁路
UPBD,Upbound Group,软件 - 应用
UPS,联合包裹,综合货运与物流
UPWK,Upwork,人员配备和就业服务
URBN,都市服饰,服装零售
URI,联合租赁,租赁服务
USB,美国合众银行,银行 - 地区性
USCB,美国世纪银行,银行 - 地区性
USFD,美国食品控股,食物分配
USM,美国无线电话,电信服务
UVE,万全保险,保险 - 财产和伤亡
V,Visa,信贷服务
VAL,华仕伯,石油和天然气设备与服务
VALE,淡水河谷,其他工业金属与采矿
VEEV,Veeva Systems,健康信息服务
VET,朱砂能源,石油和天然气勘探及生产
VFC,威富集团,服装制造
VICI,VICI Properties,房地产投资信托 - 多元化
VIPS,唯品会,互联网零售
VIST,Vista Energy,石油和天然气勘探及生产
VKTX,Viking Therapeutics,生物技术
VLO,瓦莱罗能源,石油和天然气精炼与营销
VLRS,Volaris航空,航空公司
VLTO,Veralto Corp,污染与处理控制
VMC,火神材料,建筑材料
VNO,沃那多房信,房地产投资信托 - 写字楼
VNT,Vontier,科技仪器
VOXX,奥迪富斯,消费电子品
VOYA,Voya金融,金融集团
VRDN,Viridian Therapeutics,生物技术
VRM,Vroom,汽车和卡车经销权
VRNA,维罗纳制药,生物技术
VRSK,Verisk分析,咨询服务
VRSN,威瑞信,软件 - 基础架构
VRT,Vertiv Holdings,电气设备及零件
VRTX,福泰制药,生物技术
VSAT,卫讯公司,通讯设备
VSCO,维多利亚的秘密,服装零售
VSEC,VSE技术服务,航空航天和国防
VSH,威世科技,半导体
VST,Vistra Energy,公用事业 - 独立发电商
VSTM,Verastem,生物技术
VTLE,Vital Energy,石油和天然气勘探及生产
VTR,芬塔公司,房地产投资信托 - 医疗保健设施
VTRS,Viatris,药品制造商 - 专业和通用
VVV,胜牌,石油和天然气精炼与营销
VYX,NCR Voyix,信息技术服务
VZ,Verizon,电信服务
VZIO,VIZIO,消费电子品
W,Wayfair,互联网零售
WAB,美国西屋制动,铁路
WAFD,WaFd,银行 - 地区性
WAL,阿莱恩斯西部银行,银行 - 地区性
WASH,华盛顿信托银行,银行 - 地区性
WAT,沃特世,诊断与研究
WBA,沃尔格林-联合博姿,医药零售商
WBD,Warner Bros Discovery,娱乐
WBS,韦伯斯特金融,银行 - 地区性
WCC,西科国际,产业分布
WCN,Waste Connections,废物管理
WDAY,Workday,软件 - 应用
WDC,西部数据,电脑硬件
WDFC,WD-40,特种化学品
WELL,Welltower,房地产投资信托 - 医疗保健设施
WEN,温蒂汉堡,餐厅
WFC,富国银行,银行 - 多元化
WFG,西弗雷泽木业,木料和木材生产
WFRD,Weatherford国际,石油和天然气设备与服务
WGO,温尼巴格实业,休闲车
WHR,惠而浦,家具、固定装置和家电
WING,Wingstop,餐厅
WIRE,Encore缆线,电气设备及零件
WIX,Wix.com,软件 - 基础架构
WK,Workiva,软件 - 应用
WM,美国废物管理,废物管理
WMB,威廉姆斯,石油和天然气中游
WMG,华纳音乐,娱乐
WMT,沃尔玛,折扣店
WNC,Wabash国立,农用及重型工程机械
WPM,Wheaton Precious Metals,黄金
WRB,WR柏克利,保险 - 财产和伤亡
WRBY,Warby Parker,医疗设备和用品
WRK,WestRock,包装与容器
WRLD,环球验收,信贷服务
WSC,WillScot,租赁服务
WSFS,WSFS金融,银行 - 地区性
WSM,Williams-Sonoma,专业零售
WSO,华斯科,产业分布
WSR,Whitestone REIT,房地产投资信托 - 零售
WTW,韦莱韬悦,保险经纪人
WU,西联汇款,信贷服务
WVE,Wave Life Sciences,生物技术
WWW,沃尔弗林集团,鞋类及配件
WY,惠好,房地产投资信托 - 专业
WYNN,永利度假村,渡假村和赌场
X,美国钢铁,钢
XEL,埃克西尔能源,公用事业 - 受监管电力
XERS,Xeris制药,生物技术
XMTR,Xometry,特种工业机械
XOM,埃克森美孚,石油和天然气综合
XPEL,XPEL Inc,汽车零件
XRAY,登士柏,医疗设备和用品
YETI,YETI Holdings,休闲
YOU,Clear Secure,软件 - 应用
YUM,百胜餐饮,餐厅
YUMC,百胜中国,餐厅
YY,欢聚,互联网内容与信息
Z,Zillow-C,互联网内容与信息
ZBH,齐默巴奥米特控股,医疗设备
ZBRA,斑马技术,通讯设备
ZDGE,Zedge,互联网内容与信息
ZI,ZoomInfo,软件 - 应用
ZIMV,ZimVie,医疗设备
ZLAB,再鼎医药,生物技术
ZM,Zoom视频通讯,软件 - 应用
ZTS,Zoetis,药品制造商 - 专业和通用
ZUMZ,Zumiez,服装零售
ZUO,祖睿,软件 - 基础架构
